name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Chatar Patar,No,No,3.7/5,66,270,Dining
Biryanis And More,Yes,No,4.0/5,561,750,Dining
The Big O Bakes,No,No,4.0/5,71,330,Dining
New Indraprasta,No,No,3.3/5,0,140,Dining
San Churro Cafe,Yes,No,3.8/5,845,880,Buffet
Banashankari Nati Style,No,No,2.9/5,0,350,Dining
Just Bake,No,No,3.4/5,9,360,Dining
Gawdaru Mane Beriyani,No,No,3.3/5,0,330,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,140,Dining
Spice Elephant,Yes,No,4.1/5,745,720,Buffet
Chatar Patar,No,No,3.7/5,69,300,Dining
Coffee Shopee,No,No,3.4/5,0,280,Dining
Hari Super Sandwich,No,No,3.2/5,0,200,Dining
Caf-Eleven,No,No,4.0/5,449,450,Cafes
Kitchen Garden,Yes,No,3.6/5,224,330,Dining
Recipe,Yes,No,4.0/5,842,450,Dining
Coffee Tindi,Yes,No,3.8/5,74,180,Cafes
Parjanya Chat Zone,No,No,3.3/5,16,180,Dining
Corner House Ice Cream,No,No,4.3/5,369,400,Dining
Wamama,Yes,Yes,4.2/5,341,720,other
Cakes & Slices,No,No,3.5/5,14,270,Dining
Jalsa,Yes,Yes,4.1/5,721,880,Buffet
Ruchi Maayaka,No,No,3.3/5,7,110,Dining
Melting Melodies,No,No,3.3/5,0,90,Dining
Peppy Peppers,No,No,4.2/5,248,800,other
Hotel Andhra Speices,No,No,2.9/5,0,250,Dining
Spice Elephant,Yes,No,4.1/5,815,880,Buffet
Vijayalakshmi,Yes,No,3.9/5,43,200,Dining
Jalsa,Yes,Yes,4.1/5,702,720,Buffet
Chill Out,No,No,3.8/5,0,90,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0,360,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0,440,Dining
T3H Cafe,No,No,3.9/5,93,300,Cafes
Floured-Baked With Love,No,No,3.8/5,41,360,Dining
Maruthi Davangere Benne Dosa,Yes,No,4.0/5,17,140,Dining
Recipe,Yes,No,4.0/5,747,500,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,180,Dining
Domino's Pizza,Yes,No,3.9/5,558,800,Dining
Shree Cool Point,Yes,No,4.1/5,29,160,Dining
Kolbeh,No,No,3.7/5,22,500,Dining
Srinathji's Cafe,No,No,3.8/5,148,550,Cafes
Polar Bear,Yes,No,3.8/5,77,360,Dining
Melting Melodies,No,No,3.3/5,0,100,Dining
Sweet Truth,Yes,No,3.9/5,38,550,Dining
Spicy Tandoor,No,No,4.1/5,0,150,Dining
CAFE NOVA,No,No,3.2/5,10,660,Dining
Szechuan Dragon,Yes,No,4.2/5,1503,660,Dining
Behrouz Biryani,Yes,No,3.9/5,218,580,Dining
Darbar,No,No,3.0/5,93,720,Dining
Sunsadm,No,No,3.7/5,0,360,Dining
Kabab Magic,Yes,No,4.1/5,1720,400,Dining
Swaada Healthy Kitchen,No,No,3.3/5,0,350,Dining
Kulfi & More,No,No,3.4/5,0,160,Dining
Burger King,Yes,No,3.2/5,69,600,Dining
Burger King,Yes,No,3.2/5,76,660,Dining
Burger King,Yes,No,3.2/5,68,600,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0,440,Dining
Roll Magic Fast Food,No,No,3.4/5,0,180,Dining
Addhuri Udupi Bhojana,No,No,3.7/5,87,300,Buffet
Kidambi's Kitchen,No,No,3.5/5,48,270,Dining
Just Bake,No,No,3.4/5,8,360,Dining
Coffee Tindi,Yes,No,3.8/5,70,200,Cafes
Wood Stove,No,No,3.4/5,0,160,Dining
Tasty Bytes,Yes,No,3.1/5,245,300,Dining
Kidambi's Kitchen,No,No,3.5/5,55,270,Dining
San Churro Cafe,Yes,No,3.8/5,918,800,Buffet
Darbar,No,No,3.0/5,104,880,Dining
Melting Melodies,No,No,3.3/5,0,90,Dining
The Vintage Cafe,Yes,No,3.0/5,60,400,Cafes
Sweet Truth,Yes,No,3.9/5,32,550,Dining
Floured-Baked With Love,No,No,3.8/5,46,400,Dining
Parimala Sweets,No,No,3.5/5,14,200,Dining
Kotian Karavali Restaurant,No,No,3.5/5,11,270,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,220,Dining
Ovenstory Pizza,Yes,No,3.9/5,172,750,Dining
Foodiction,Yes,No,2.8/5,506,500,other
Kadalu Sea Food Restaurant,Yes,No,3.8/5,143,450,Dining
Kidambi's Kitchen,No,No,3.5/5,56,330,Dining
Vaishali Deluxe,No,No,3.8/5,45,770,Dining
San Churro Cafe,Yes,No,3.8/5,948,800,Buffet
Addhuri Udupi Bhojana,No,No,3.7/5,88,300,Buffet
Cakes & Slices,No,No,3.5/5,13,300,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,65,720,Dining
Sugar Rush,No,No,3.8/5,42,300,Dining
Kidambi's Kitchen,No,No,3.5/5,54,330,Dining
Katriguppe Donne Biryani,No,No,3.2/5,4,300,Dining
Biryanis And More,Yes,No,4.0/5,585,830,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,300,Dining
Chill Out,No,No,3.8/5,0,100,Dining
Bengaluru Coffee House,Yes,No,4.1/5,212,330,Dining
Parimala Sweets,No,No,3.5/5,14,200,Dining
Srinathji's Cafe,No,No,3.8/5,145,550,Cafes
Petoo,No,No,3.7/5,22,400,Dining
Parimala Sweets,No,No,3.5/5,14,220,Dining
Petoo,No,No,3.7/5,22,500,Dining
My Tea House,Yes,No,3.6/5,56,540,Cafes
Wood Stove,No,No,3.4/5,0,150,Dining
Redberrys,Yes,No,4.0/5,202,600,Cafes
Addhuri Udupi Bhojana,No,No,3.7/5,79,270,Buffet
Timepass Dinner,Yes,No,3.8/5,286,600,Buffet
Chinese Kitchen,Yes,No,3.8/5,57,160,Dining
Petoo,No,No,3.7/5,22,450,Dining
Ayda Persian Kitchen,No,No,3.7/5,39,950,Dining
Cuppa,No,No,3.3/5,23,500,Cafes
Recipe,Yes,No,4.0/5,805,500,Dining
Kirthi's Biryani,Yes,No,3.8/5,144,700,Cafes
Vaishali Deluxe,No,No,3.8/5,41,630,Dining
Biryanis And More,Yes,No,4.0/5,676,750,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0,360,Dining
Gustoes Beer House,No,No,4.1/5,885,700,Dining
Melting Melodies,No,No,3.3/5,0,100,Dining
Kannadigas Karavali,No,No,3.4/5,0,250,Dining
Five Star Chicken,No,No,3.6/5,52,220,Dining
Jalsa,Yes,Yes,4.1/5,739,720,Buffet
Woodee Pizza,Yes,No,3.7/5,167,450,Cafes
Smacznego,Yes,No,4.2/5,504,550,Cafes
Faasos,Yes,No,4.2/5,430,500,other
The Big O Bakes,No,No,4.0/5,62,300,Dining
Frozen Bottle,Yes,No,4.2/5,146,400,Dining
Kolbeh,No,No,3.7/5,20,450,Dining
Chatar Patar,No,No,3.7/5,67,300,Dining
Catch-up-ino,Yes,No,3.9/5,120,800,Cafes
The Biryani Cafe,No,No,4.1/5,540,270,Dining
San Churro Cafe,Yes,No,3.8/5,998,800,Buffet
Recipe,Yes,No,4.0/5,847,450,Dining
Kitchen Garden,Yes,No,3.6/5,246,300,Dining
Fast And Fresh,Yes,No,2.8/5,92,400,Dining
XO Belgian Waffle,Yes,No,3.7/5,16,360,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,160,Dining
Polar Bear,Yes,No,3.8/5,77,400,Dining
Szechuan Dragon,Yes,No,4.2/5,1721,660,Dining
LSD Cafe,No,No,2.9/5,87,770,other
Wamama,Yes,Yes,4.2/5,359,880,other
The Big O Bakes,No,No,4.0/5,64,270,Dining
Darbar,No,No,3.0/5,102,800,Dining
Wamama,Yes,Yes,4.2/5,383,720,other
Kulfi & More,No,No,3.4/5,0,140,Dining
Kirthi's Biryani,Yes,No,3.8/5,131,700,Cafes
Onesta,Yes,Yes,4.6/5,2556,600,Cafes
New Mangalore Lunch Home,No,No,3.3/5,7,200,Dining
Polar Bear,Yes,No,3.8/5,74,440,Dining
Catch-up-ino,Yes,No,3.9/5,144,800,Cafes
Timepass Dinner,Yes,No,3.8/5,265,660,Buffet
Hotboxit,No,No,3.8/5,37,360,Dining
Szechuan Dragon,Yes,No,4.2/5,1787,600,Dining
Sri Murari Family Restaurant,No,No,2.9/5,0,220,Dining
Vijayalakshmi,Yes,No,3.9/5,46,180,Dining
Chickpet Donne Biryani House,No,No,3.7/5,19,250,Dining
Burger King,Yes,No,3.2/5,75,600,Dining
Cafe Shuffle,Yes,Yes,4.2/5,162,600,Cafes
Cafe Coffee Day,No,No,3.6/5,31,810,Cafes
Kitchen Garden,Yes,No,3.6/5,258,330,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0,140,Dining
Sea Green Cafe,No,No,3.3/5,4,500,Cafes
The Coffee Shack,Yes,Yes,4.2/5,173,550,Cafes
360 Atoms Restaurant And Cafe,Yes,No,3.1/5,13,400,Cafes
Amma - Manae,No,No,3.1/5,0,440,Dining
Atithi Point Ande Ka Funda,No,No,3.1/5,26,140,Dining
Village Café,Yes,No,4.1/5,402,550,Cafes
San Churro Cafe,Yes,No,3.8/5,943,720,Cafes
Upahar Sagar,No,No,3.8/5,39,350,Dining
Kotian Karavali Restaurant,No,No,3.5/5,11,330,Dining
Empire Restaurant,Yes,No,4.4/5,4502,750,other
Havyaka Mess,No,No,3.9/5,27,300,Dining
Kotian Karavali Restaurant,No,No,3.5/5,11,330,Dining
Banashankari Nati Style,No,No,2.9/5,0,320,Dining
Empire Restaurant,Yes,No,4.4/5,4545,830,other
Thanco's Natural Ice Creams,No,No,3.2/5,9,330,Dining
Darkolates,No,No,3.3/5,0,220,Dining
Swathi Cool Point,No,No,4.1/5,0,200,Dining
Sunsadm,No,No,3.7/5,0,440,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,160,Dining
Grand Village,No,No,3.8/5,178,600,Buffet
Swaada Healthy Kitchen,No,No,3.3/5,0,320,Dining
Jalsa,Yes,Yes,4.1/5,775,800,Buffet
Soms Kitchen & Bakes,No,No,2.9/5,0,400,Dining
XO Belgian Waffle,Yes,No,3.7/5,17,360,Dining
Sugar Rush,No,No,3.8/5,39,270,Dining
Kannadigas Karavali,No,No,3.4/5,0,280,Dining
Melting Melodies,No,No,3.3/5,0,90,Dining
Corner House Ice Cream,No,No,4.3/5,330,440,Dining
Kaggis,No,No,3.8/5,68,280,Dining
Five Star Chicken,No,No,3.6/5,58,200,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0,400,Dining
Kannadigas Karavali,No,No,3.4/5,0,280,Dining
My Tea House,Yes,No,3.6/5,56,660,Cafes
Spice Elephant,Yes,No,4.1/5,865,720,Buffet
Sweet Truth,Yes,No,3.9/5,33,450,Dining
Me And My Cake,No,No,3.7/5,0,500,Dining
Just Bake,No,No,3.4/5,8,360,Dining
The Vintage Cafe,Yes,No,3.0/5,60,360,Cafes
Goa 0 Km,Yes,Yes,3.6/5,157,800,Dining
Havyaka Mess,No,No,3.9/5,28,330,Dining
Burger King,Yes,No,3.2/5,71,600,Dining
Kotian Karavali Restaurant,No,No,3.5/5,10,300,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,100,Dining
Shree Cool Point,Yes,No,4.1/5,26,150,Dining
Chatar Patar,No,No,3.7/5,63,300,Dining
Ayda Persian Kitchen,No,No,3.7/5,42,860,Dining
New Indraprasta,No,No,3.3/5,0,150,Dining
Nandhini Deluxe,No,No,2.6/5,277,660,Dining
Wamama,Yes,Yes,4.2/5,368,800,other
Amma - Manae,No,No,3.1/5,0,400,Dining
Kaumudis Juoice,No,No,3.3/5,0,150,Dining
Krishna Sagar,No,No,3.5/5,31,180,Dining
Cuppa,No,No,3.3/5,23,550,Cafes
Chill Out,No,No,3.8/5,0,90,Dining
Sunsadm,No,No,3.7/5,0,440,Dining
Amma - Manae,No,No,3.1/5,0,400,Dining
Chatar Patar,No,No,3.7/5,62,300,Dining
Woodee Pizza,Yes,No,3.7/5,175,550,Cafes
Amma - Manae,No,No,3.1/5,0,440,Dining
Darkolates,No,No,3.3/5,0,200,Dining
San Churro Cafe,Yes,No,3.8/5,862,720,Cafes
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,800,Buffet
Cafe Coffee Day,No,No,3.6/5,29,810,Cafes
XO Belgian Waffle,Yes,No,3.7/5,18,440,Dining
LSD Cafe,No,No,2.9/5,84,700,other
Goa 0 Km,Yes,Yes,3.6/5,148,720,Dining
Floured-Baked With Love,No,No,3.8/5,47,360,Dining
Kaumudis Juoice,No,No,3.3/5,0,150,Dining
Anna Kuteera,Yes,No,4.0/5,771,450,Dining
Cuppa,No,No,3.3/5,24,500,Cafes
Coffee Bytes,No,No,3.1/5,6,100,Dining
San Churro Cafe,Yes,No,3.8/5,983,720,Cafes
Kolbeh,No,No,3.7/5,24,450,Dining
Sunsadm,No,No,3.7/5,0,440,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0,400,Dining
XO Belgian Waffle,Yes,No,3.7/5,17,440,Dining
Swaada Healthy Kitchen,No,No,3.3/5,0,320,Dining
Dessert Rose,No,No,3.5/5,7,550,Dining
Havyaka Mess,No,No,3.9/5,28,300,Dining
Cafe Shuffle,Yes,Yes,4.2/5,158,540,Cafes
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining
Behrouz Biryani,Yes,No,3.9/5,246,650,Dining
Banashankari Donne Biriyani,Yes,No,3.8/5,104,300,Dining
Sea Green Cafe,No,No,3.3/5,4,550,Cafes
Sri Sai Tiffannies,No,No,3.3/5,0,140,Dining
Ovenstory Pizza,Yes,No,3.9/5,170,680,Dining
Goa 0 Km,Yes,Yes,3.6/5,178,720,Dining
Hide Out Cafe,No,No,3.7/5,31,300,Cafes
Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,27,200,Dining
Smacznego,Yes,No,4.2/5,466,600,Cafes
Thanco's Natural Ice Creams,No,No,3.2/5,9,300,Dining
Sugar Rush,No,No,3.8/5,38,270,Dining
San Churro Cafe,Yes,No,3.8/5,898,800,Buffet
Just Bake,No,No,3.4/5,8,360,Dining
Vijayalakshmi,Yes,No,3.9/5,51,180,Dining
Shree Cool Point,Yes,No,4.1/5,28,150,Dining
Sri Sai Tiffannies,No,No,3.3/5,0,160,Dining
Kulfi & More,No,No,3.4/5,0,150,Dining
Kabab Magic,Yes,No,4.1/5,1751,400,Dining
Frozen Bottle,Yes,No,4.2/5,142,440,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,90,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,200,Dining
New Indraprasta,No,No,3.3/5,0,160,Dining
Kulfi & More,No,No,3.4/5,0,150,Dining
Hotboxit,No,No,3.8/5,37,440,Dining
Dessert Rose,No,No,3.5/5,7,550,Dining
Tasty Bytes,Yes,No,3.1/5,252,300,Dining
T3H Cafe,No,No,3.9/5,93,300,Cafes
Frozen Bottle,Yes,No,4.2/5,133,360,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,300,Dining
Nandhini Deluxe,No,No,2.6/5,292,660,Dining
Floured-Baked With Love,No,No,3.8/5,44,440,Dining
K27 - The Pub,No,No,3.1/5,29,900,Dining
Vaishali Deluxe,No,No,3.8/5,42,700,Dining
Goa 0 Km,Yes,Yes,3.6/5,163,800,Dining
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8,800,Buffet
Kabab Magic,Yes,No,4.1/5,1562,400,Dining
Mohitesh Hut Roll,No,No,3.3/5,0,140,Dining
Penthouse Cafe,Yes,No,4.0/5,305,630,other
Just Bake,No,No,3.4/5,7,360,Dining
Melting Melodies,No,No,3.3/5,0,90,Dining
Coffee Shopee,No,No,3.4/5,0,250,Dining
The Coffee Shack,Yes,Yes,4.2/5,164,500,Cafes
Spicy Tandoor,No,No,4.1/5,0,140,Dining
Aarush's Food Plaza,No,No,3.4/5,0,200,Dining
The Coffee Shack,Yes,Yes,4.2/5,160,550,Cafes
Hari Super Sandwich,No,No,3.2/5,0,220,Dining
Dessert Rose,No,No,3.5/5,7,550,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8/5,156,450,Dining
Nandhini Deluxe,No,No,2.6/5,271,600,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0,90,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,59,880,Dining
Rolls On Wheels,No,No,3.6/5,272,300,Dining
Anna Kuteera,Yes,No,4.0/5,758,450,Dining
Roving Feast,No,No,4.0/5,975,500,Dining
Wamama,Yes,Yes,4.2/5,371,720,other
Just Bake,No,No,3.4/5,8,440,Dining
Hotel Andhra Speices,No,No,2.9/5,0,280,Dining
Sea Green Cafe,No,No,3.3/5,4,450,Cafes
Cake Bite,No,No,3.4/5,0,270,Dining
Spice Elephant,Yes,No,4.1/5,744,800,Buffet
Kidambi's Kitchen,No,No,3.5/5,56,270,Dining
Om Sri Vinayaka Chats,No,No,3.6/5,0,500,Dining
Namma Brahmin's Idli,Yes,No,3.6/5,33,90,Dining
CAFE NOVA,No,No,3.2/5,11,600,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,200,Dining
Beijing Bites,Yes,No,3.7/5,736,940,Dining
Rolls On Wheels,No,No,3.6/5,299,300,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0,150,Dining
Catch-up-ino,Yes,No,3.9/5,121,880,Cafes
Cake of the Day,No,No,3.7/5,79,150,Dining
New Indraprasta,No,No,3.3/5,0,140,Dining
CAFE NOVA,No,No,3.2/5,11,600,Dining
Cake Bite,No,No,3.4/5,0,300,Dining
Chatar Patar,No,No,3.7/5,59,300,Dining
Om Sri Vinayaka Chats,No,No,3.6/5,0,450,Dining
Swaada Healthy Kitchen,No,No,3.3/5,0,390,Dining
Darbar,No,No,3.0/5,104,880,Dining
Annapooraneshwari Mess,No,No,3.7/5,0,200,Dining
Amma - Manae,No,No,3.1/5,0,360,Dining
Chickpet Donne Biryani House,No,No,3.7/5,21,250,Dining
Chickpet Donne Biryani House,No,No,3.7/5,22,280,Dining
CAFE NOVA,No,No,3.2/5,10,660,Dining
Rolls On Wheels,No,No,3.6/5,320,270,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0,400,Dining
T3H Cafe,No,No,3.9/5,92,270,Cafes
The Coffee Shack,Yes,Yes,4.2/5,171,550,Cafes
Sea Green Cafe,No,No,3.3/5,4,550,Cafes
Nandhini Deluxe,No,No,2.6/5,283,600,Dining
