transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,discount,payment_method,total_amount
74,416,125,2023-11-08,2,56.35,10,Cash,101.43
75,109,13,2024-05-22,2,217.6,10,UPI,391.68
76,966,408,2023-05-23,3,59.3,15,UPI,151.21
77,807,161,2023-12-14,3,416.75,20,Card,1000.2
78,202,153,2023-08-17,3,234.96,20,Card,563.9
79,957,161,2023-12-28,4,59.89,15,UPI,203.63
80,144,22,2024-02-13,5,156.14,10,Cash,702.63
81,798,443,2023-06-17,1,236.7,10,Cash,213.03
82,492,418,2024-02-12,2,312.82,20,Card,500.51
83,924,160,2024-08-26,1,308.36,5,PayPal,292.94
84,655,252,2024-07-25,2,371.91,0,PayPal,743.82
85,615,293,2024-07-04,5,70.57,0,UPI,352.85
86,827,212,2023-09-21,5,439.3,15,UPI,1867.02
87,342,283,2023-07-04,5,185.9,0,PayPal,929.5
88,509,114,2023-03-09,3,330.58,5,UPI,942.15
89,300,434,2024-05-04,5,387.84,10,PayPal,1745.28
90,888,362,2024-06-27,2,424.26,20,Cash,678.82
91,586,26,2023-03-09,5,263.83,10,Cash,1187.23
92,672,304,2024-10-08,2,76.93,15,UPI,130.78
93,965,325,2024-11-13,2,304.87,15,Cash,518.28
94,1,453,2024-02-01,2,30.08,0,UPI,60.16
95,448,461,2023-01-06,2,458.24,5,PayPal,870.66
96,252,17,2024-01-14,1,452.97,0,UPI,452.97
97,864,283,2024-06-19,5,71.16,15,Card,302.43
98,326,382,2023-08-29,4,317.89,15,PayPal,1080.83
99,82,288,2024-01-21,4,424.89,20,Card,1359.65
100,528,177,2024-02-18,3,119.73,15,UPI,305.31
101,863,26,2024-08-24,1,206.79,15,Cash,175.77
102,149,354,2024-02-28,3,99.37,15,UPI,253.39
103,791,387,2024-01-07,1,443.11,10,Card,398.8
104,770,402,2025-06-13,4,70.23,0,Cash,280.92
105,751,26,2023-03-23,3,135.93,0,Cash,407.79
106,246,71,2025-02-11,3,491.88,5,Cash,1401.86
107,204,228,2025-03-14,4,189.37,10,Cash,681.73
108,26,236,2023-02-02,5,93.22,0,Cash,466.1
109,676,213,2023-02-28,3,258.92,5,Card,737.92
110,987,309,2024-12-27,5,388.99,20,PayPal,1555.96
111,275,375,2024-10-24,4,281.69,15,Card,957.75
112,352,290,2025-03-09,1,436.63,5,Card,414.8
113,119,122,2025-02-10,2,492.56,15,PayPal,837.35
114,132,325,2024-05-14,5,119.4,5,Cash,567.15
115,990,352,2024-11-18,1,194.66,10,Card,175.19
116,617,490,2023-09-13,4,320.55,0,UPI,1282.2
117,519,89,2023-03-30,5,237.09,10,UPI,1066.9
118,832,357,2024-07-11,5,498.23,5,Card,2366.59
119,82,162,2023-06-26,2,492.74,5,Card,936.21
120,548,316,2024-01-05,1,35.35,20,PayPal,28.28
121,703,25,2023-03-21,5,325.7,20,PayPal,1302.8
122,581,233,2023-03-24,1,141.41,15,UPI,120.2
123,180,33,2024-08-13,2,379.71,0,PayPal,759.42
124,583,100,2023-05-06,2,472.27,15,UPI,802.86
125,879,269,2024-07-07,4,300.35,20,Cash,961.12
126,936,257,2023-04-01,3,53.17,10,Card,143.56
127,330,293,2023-10-23,5,223.47,20,PayPal,893.88
128,776,148,2024-04-17,5,222.41,20,Cash,889.64
129,597,156,2025-04-27,3,457.72,0,UPI,1373.16
130,582,18,2024-08-19,4,359.74,15,UPI,1223.12
131,269,342,2023-08-16,1,291.04,15,Cash,247.38
132,554,200,2023-09-17,5,41.1,5,Card,195.22
133,260,350,2024-01-26,2,172.75,10,Card,310.95
134,248,68,2025-03-05,4,165.41,15,Card,562.39
135,597,262,2023-07-23,4,487.7,15,PayPal,1658.18
136,585,290,2023-05-17,3,310.25,5,PayPal,884.21
137,19,29,2023-12-21,1,493.55,0,PayPal,493.55
138,997,168,2025-01-13,2,350.75,5,PayPal,666.42
139,220,319,2025-03-03,2,460.21,10,PayPal,828.38
140,281,143,2025-02-23,2,153.61,0,Card,307.22
141,634,271,2023-09-07,4,287.55,20,Card,920.16
142,123,256,2023-04-26,4,255.29,5,UPI,970.1
143,732,268,2023-04-09,4,292.99,20,PayPal,937.57
144,115,118,2024-08-13,1,495.96,10,UPI,446.36
145,21,421,2023-09-07,3,304.21,15,PayPal,775.74
146,514,79,2023-09-20,5,227.13,15,PayPal,965.3
147,858,379,2024-12-22,5,290.63,0,Card,1453.15
148,394,465,2025-05-22,1,419.87,15,Card,356.89
149,558,48,2024-05-05,3,41.98,15,Cash,107.05
150,44,205,2024-01-30,3,202.21,15,PayPal,515.64
151,731,8,2024-05-25,2,271.06,0,PayPal,542.12
152,110,108,2024-03-21,4,102.22,15,Card,347.55
153,288,410,2025-01-28,1,389.23,15,PayPal,330.85
154,796,67,2024-05-31,5,92.17,5,PayPal,437.81
155,291,423,2024-12-28,1,276.16,15,Cash,234.74
156,163,240,2024-08-22,3,24.66,10,UPI,66.58
157,630,17,2024-05-14,5,167.08,0,Card,835.4
158,168,480,2023-09-28,5,194.73,15,PayPal,827.6
159,24,401,2023-12-22,4,22.31,0,Cash,89.24
160,186,176,2025-05-06,2,73.45,0,Card,146.9
161,858,49,2024-08-29,2,157.1,15,PayPal,267.07
162,395,11,2025-01-23,5,274.28,5,Cash,1302.83
163,788,282,2023-08-18,1,211.5,15,Card,179.78
164,876,306,2024-02-24,5,491.21,10,PayPal,2210.44
165,572,453,2023-04-23,2,70.68,5,Card,134.29
166,834,370,2024-04-28,3,91.91,10,PayPal,248.16
167,894,394,2025-05-31,5,84.44,20,UPI,337.76
168,718,328,2023-11-30,2,135.69,20,Cash,217.1
169,814,336,2025-03-03,5,280.31,10,Cash,1261.39
170,843,327,2023-05-13,2,33.12,10,Cash,59.62
171,754,156,2025-06-10,1,215.06,15,Card,182.8
172,977,89,2024-10-31,5,192.23,15,UPI,816.98
173,285,158,2025-02-02,2,182.06,20,UPI,291.3
174,95,421,2023-04-07,4,407.59,10,UPI,1467.32
175,731,125,2024-11-09,1,186.43,20,UPI,149.14
176,922,23,2023-01-13,5,180.29,20,PayPal,721.16
177,99,338,2023-07-03,1,413.63,20,PayPal,330.9
178,222,56,2024-02-15,3,37.87,5,Cash,107.93
179,870,225,2024-12-21,5,51.9,10,PayPal,233.55
180,187,413,2024-10-25,3,331.01,0,Cash,993.03
181,655,40,2025-03-28,4,84.83,5,UPI,322.35
182,874,418,2023-08-11,1,29.38,20,Card,23.5
183,713,305,2024-12-11,2,11.2,15,Cash,19.04
184,386,315,2024-01-16,3,78.9,10,PayPal,213.03
185,906,56,2023-01-09,5,309.88,10,PayPal,1394.46
186,740,229,2023-09-27,2,86.88,20,PayPal,139.01
187,903,120,2025-01-11,1,37.27,20,Cash,29.82
188,255,471,2024-01-05,2,359.16,20,Card,574.66
189,526,293,2023-06-28,2,227.67,0,PayPal,455.34
190,882,66,2023-09-03,4,255.14,5,Card,969.53
191,174,191,2025-04-17,5,334.09,15,Cash,1419.88
192,355,138,2024-08-30,5,271.07,10,Cash,1219.82
193,559,53,2023-07-02,1,168.2,20,Cash,134.56
194,326,212,2025-03-07,5,145.78,0,Cash,728.9
195,326,15,2023-04-12,4,30.11,15,PayPal,102.37
196,647,364,2023-07-27,4,249.55,20,PayPal,798.56
197,696,55,2024-10-12,2,382.17,5,UPI,726.12
198,725,310,2023-01-19,3,8.72,15,Cash,22.24
199,341,259,2025-02-25,3,320.26,5,PayPal,912.74
200,152,287,2024-02-09,4,25.54,20,PayPal,81.73
201,656,29,2025-01-14,1,148.18,5,Cash,140.77
202,572,236,2023-07-15,4,237.3,20,Card,759.36
203,833,165,2025-01-19,3,489.58,15,Cash,1248.43
204,719,431,2024-08-25,2,431.44,10,UPI,776.59
205,563,351,2024-11-04,5,190.4,0,UPI,952.0
206,519,218,2023-08-17,4,228.34,15,Card,776.36
207,530,91,2023-02-28,5,228.34,15,Card,970.45
208,411,44,2024-11-01,4,378.05,5,PayPal,1436.59
209,686,294,2024-07-06,3,485.79,15,Card,1238.76
210,13,303,2024-09-20,2,246.87,10,UPI,444.37
211,167,44,2023-08-06,4,480.4,0,UPI,1921.6
212,185,437,2024-07-31,2,498.28,10,Card,896.9
213,857,120,2023-05-30,1,212.05,5,Cash,201.45
214,336,312,2024-11-03,5,99.18,10,PayPal,446.31
215,320,104,2025-01-04,5,351.59,0,Cash,1757.95
216,339,91,2023-04-24,5,99.3,15,UPI,422.02
217,582,299,2023-11-07,3,93.4,20,PayPal,224.16
218,396,277,2023-05-19,4,36.45,10,UPI,131.22
219,275,452,2023-07-16,5,223.48,15,PayPal,949.79
220,96,241,2023-07-11,4,356.54,20,UPI,1140.93
221,317,483,2023-07-24,4,407.36,10,UPI,1466.5
222,717,333,2025-02-10,2,336.85,20,Cash,538.96
223,895,277,2023-08-10,1,412.41,15,UPI,350.55
224,548,388,2023-05-16,5,454.7,5,Card,2159.82
225,346,404,2023-09-14,1,371.15,15,Card,315.48
226,680,495,2023-02-07,1,304.02,5,UPI,288.82
227,873,440,2023-07-16,1,88.67,5,Cash,84.24
228,832,462,2025-05-23,5,26.47,20,Card,105.88
229,419,348,2024-07-08,4,391.16,0,Cash,1564.64
230,996,268,2024-03-12,2,332.53,10,Cash,598.55
231,927,17,2023-12-29,5,310.63,10,Card,1397.84
232,471,470,2024-04-29,3,196.17,15,UPI,500.23
233,671,371,2023-12-03,2,221.43,20,UPI,354.29
234,50,292,2023-07-21,1,195.1,15,PayPal,165.83
235,557,424,2023-08-20,5,365.03,5,Card,1733.89
236,630,428,2024-10-21,2,208.53,20,Card,333.65
237,48,102,2024-12-23,5,312.08,0,PayPal,1560.4
238,913,3,2023-12-14,2,397.37,15,Cash,675.53
239,671,53,2024-09-04,4,447.75,0,Card,1791.0
240,359,104,2024-08-29,3,350.37,15,UPI,893.44
241,301,223,2025-03-21,5,496.34,5,Cash,2357.61
242,842,337,2023-08-09,1,287.27,15,Cash,244.18
243,450,492,2024-07-16,1,8.73,5,UPI,8.29
244,753,265,2025-04-05,4,474.1,5,PayPal,1801.58
245,823,99,2024-07-29,3,161.83,0,Card,485.49
246,53,248,2023-02-26,5,195.1,20,Card,780.4
247,917,238,2025-01-10,3,33.8,10,PayPal,91.26
248,842,65,2023-10-23,3,231.81,5,Card,660.66
249,608,404,2025-05-07,1,466.21,0,PayPal,466.21
250,521,221,2024-08-23,1,214.33,20,Cash,171.46
251,590,359,2024-06-03,4,252.14,20,PayPal,806.85
252,301,475,2024-08-26,4,236.28,5,Cash,897.86
253,64,68,2024-04-04,3,368.66,15,Cash,940.08
254,297,107,2025-04-21,5,154.84,0,Cash,774.2
255,93,272,2025-05-15,2,89.4,5,Cash,169.86
256,432,390,2025-05-11,3,172.94,5,Cash,492.88
257,425,480,2025-03-03,3,373.42,0,Cash,1120.26
258,648,88,2024-10-01,3,33.16,5,Card,94.51
259,605,219,2024-12-03,1,261.33,5,Card,248.26
260,551,411,2024-10-06,4,363.85,15,Cash,1237.09
261,373,493,2024-05-22,4,427.99,20,UPI,1369.57
262,515,63,2025-02-19,3,16.68,20,Card,40.03
263,57,147,2024-11-15,1,188.32,0,PayPal,188.32
264,980,141,2023-12-13,1,32.54,10,UPI,29.29
265,787,126,2023-09-28,3,488.02,15,Card,1244.45
266,419,118,2024-02-27,4,237.61,20,PayPal,760.35
267,227,223,2025-01-23,4,389.53,0,PayPal,1558.12
268,194,195,2023-02-08,2,444.22,5,Cash,844.02
269,360,234,2023-09-17,3,425.19,0,Cash,1275.57
270,318,164,2024-03-21,1,440.77,10,PayPal,396.69
271,668,136,2024-12-22,3,392.07,0,Card,1176.21
272,956,138,2023-08-25,4,350.64,5,UPI,1332.43
273,634,417,2024-07-12,4,383.29,5,Cash,1456.5
274,685,114,2025-05-20,1,479.58,5,Card,455.6
275,748,99,2023-05-28,2,26.0,10,Card,46.8
276,649,239,2024-09-26,5,112.17,0,Card,560.85
277,780,365,2023-03-06,1,22.86,10,PayPal,20.57
278,612,293,2023-10-26,2,341.46,15,Cash,580.48
279,300,305,2023-08-22,3,143.23,10,Cash,386.72
280,754,62,2023-12-27,4,75.44,10,UPI,271.58
281,54,462,2023-12-14,5,33.15,15,UPI,140.89
282,247,277,2024-01-31,3,262.15,10,UPI,707.8
283,153,86,2023-06-05,5,54.6,20,Cash,218.4
284,310,358,2024-05-30,4,213.84,10,UPI,769.82
285,317,476,2024-07-27,4,226.41,15,PayPal,769.79
286,592,1,2023-07-05,1,152.46,20,Card,121.97
287,245,58,2023-06-03,3,226.77,10,UPI,612.28
288,792,419,2025-06-02,1,365.49,15,UPI,310.67
289,238,281,2023-07-08,3,23.68,0,PayPal,71.04
290,703,233,2024-08-10,5,51.18,0,Cash,255.9
291,312,38,2023-09-06,1,316.94,15,Cash,269.4
292,735,111,2023-05-16,2,279.35,15,Cash,474.9
293,363,81,2024-04-07,1,189.14,15,Card,160.77
294,705,18,2024-10-24,4,399.13,15,UPI,1357.04
295,62,393,2023-07-08,1,500.0,0,Cash,500.0
296,738,315,2023-11-09,3,265.77,20,Cash,637.85
297,608,19,2025-06-14,1,241.86,10,Card,217.67
298,801,285,2025-04-04,1,340.36,5,Cash,323.34
299,345,117,2024-08-02,5,222.95,10,Card,1003.27
300,944,291,2024-07-17,1,367.48,20,Cash,293.98
301,766,8,2024-09-01,5,329.57,10,UPI,1483.07
302,974,287,2024-07-18,2,314.42,15,Cash,534.51
303,372,463,2024-12-08,5,394.59,10,PayPal,1775.65
304,928,256,2023-04-11,4,455.35,15,Card,1548.19
305,810,51,2023-02-08,2,404.61,5,Card,768.76
306,361,304,2025-03-20,2,387.02,20,PayPal,619.23
307,923,193,2025-02-19,1,337.41,15,UPI,286.8
308,897,339,2023-04-16,5,190.61,0,UPI,953.05
309,184,436,2025-01-16,3,197.26,5,Cash,562.19
310,992,215,2023-01-28,4,448.28,5,Cash,1703.46
311,203,444,2025-01-27,2,335.2,20,Card,536.32
312,196,46,2025-03-13,4,427.61,0,PayPal,1710.44
313,277,479,2024-04-07,4,499.13,5,Card,1896.69
314,218,36,2024-02-26,2,112.73,5,PayPal,214.19
315,340,226,2023-04-06,2,338.94,15,PayPal,576.2
316,373,356,2024-11-27,3,47.74,20,PayPal,114.58
317,695,272,2023-10-13,5,347.08,5,UPI,1648.63
318,29,184,2023-11-29,2,495.61,15,UPI,842.54
319,689,485,2024-12-31,5,411.0,15,Card,1746.75
320,752,445,2025-03-03,5,382.43,5,UPI,1816.54
321,442,40,2023-03-01,3,353.7,5,UPI,1008.04
322,874,49,2025-04-06,3,284.32,5,PayPal,810.31
323,530,185,2024-03-29,1,391.95,0,PayPal,391.95
324,246,84,2023-07-23,5,5.52,0,Cash,27.6
325,612,168,2024-06-05,1,293.46,15,PayPal,249.44
326,584,342,2024-06-10,3,192.45,10,UPI,519.61
327,195,428,2024-07-09,2,474.6,10,Card,854.28
328,500,374,2024-11-07,3,492.54,5,Card,1403.74
329,505,44,2025-01-24,1,199.37,20,Cash,159.5
330,526,94,2023-07-17,1,371.93,20,PayPal,297.54
331,364,393,2024-08-30,5,210.05,15,UPI,892.71
332,792,120,2024-06-16,5,190.57,20,Card,762.28
333,819,401,2025-05-05,3,147.39,10,Cash,397.95
334,898,106,2023-04-28,4,24.25,10,Card,87.3
335,653,27,2024-04-18,1,251.42,15,PayPal,213.71
336,950,116,2023-10-25,1,210.48,0,PayPal,210.48
337,160,23,2023-08-02,5,452.98,5,Cash,2151.66
338,219,492,2025-02-07,2,14.36,0,PayPal,28.72
339,377,314,2023-11-26,3,170.1,5,UPI,484.78
340,706,273,2024-04-09,3,317.43,10,Cash,857.06
341,941,48,2024-12-04,1,363.78,15,Card,309.21
342,400,97,2023-04-23,5,265.78,20,UPI,1063.12
343,447,265,2023-08-10,1,395.71,15,Card,336.35
344,3,283,2023-12-20,3,213.12,10,PayPal,575.42
345,915,32,2023-05-15,5,456.97,10,Cash,2056.37
346,165,7,2024-08-03,4,434.08,20,PayPal,1389.06
347,112,356,2023-06-22,5,428.98,20,PayPal,1715.92
348,12,34,2023-08-20,5,9.26,5,Card,43.98
349,33,273,2024-12-01,5,492.77,20,Cash,1971.08
350,612,497,2024-01-17,4,356.97,15,UPI,1213.7
351,740,84,2024-11-02,2,432.87,0,Cash,865.74
352,708,85,2023-05-13,3,50.82,5,Card,144.84
353,771,231,2023-05-25,3,483.11,5,Cash,1376.86
354,786,300,2024-06-25,2,215.16,10,Cash,387.29
355,62,395,2023-01-07,5,340.66,10,PayPal,1532.97
356,427,463,2023-12-28,2,298.1,0,UPI,596.2
357,513,440,2025-02-10,5,297.64,20,UPI,1190.56
358,759,85,2024-05-14,5,145.82,10,UPI,656.19
359,662,259,2023-03-08,5,216.76,0,Card,1083.8
360,630,160,2023-12-03,4,322.6,10,Card,1161.36
361,151,361,2024-05-31,5,499.72,15,PayPal,2123.81
362,568,116,2024-11-02,3,372.53,10,UPI,1005.83
363,43,89,2024-03-24,1,464.71,0,Card,464.71
364,487,372,2024-01-27,3,141.34,10,Card,381.62
365,533,85,2025-05-30,5,226.97,20,Card,907.88
366,351,256,2025-03-01,5,66.47,0,Card,332.35
367,250,283,2023-02-15,4,125.05,10,Cash,450.18
368,884,430,2024-12-02,1,12.71,15,UPI,10.8
369,568,157,2025-04-30,5,476.25,5,UPI,2262.19
370,703,75,2025-03-09,1,317.95,5,Card,302.05
371,848,91,2023-08-04,3,220.77,10,Cash,596.08
372,416,108,2025-04-26,5,96.7,5,PayPal,459.32
373,630,74,2025-02-27,5,462.41,20,UPI,1849.64
374,332,289,2024-07-09,2,340.06,10,UPI,612.11
375,867,124,2023-02-02,2,87.56,10,Cash,157.61
376,27,67,2025-06-01,4,30.79,15,Cash,104.69
377,222,220,2025-01-22,2,497.62,10,Cash,895.72
378,71,378,2024-06-14,3,188.89,0,UPI,566.67
379,160,351,2025-04-09,5,242.86,0,PayPal,1214.3
380,796,324,2023-01-19,4,308.53,0,Card,1234.12
381,787,499,2024-01-14,1,12.99,5,Cash,12.34
382,462,469,2023-11-02,1,353.15,5,Cash,335.49
383,786,287,2025-04-28,2,100.54,20,Cash,160.86
384,545,191,2024-12-27,2,365.4,20,Card,584.64
385,165,161,2025-06-09,5,403.08,15,PayPal,1713.09
386,556,12,2023-11-24,4,38.55,15,UPI,131.07
387,422,178,2024-04-18,2,353.48,0,UPI,706.96
388,950,423,2023-01-22,2,325.17,15,PayPal,552.79
389,682,1,2023-11-08,5,71.72,10,Card,322.74
390,487,244,2024-05-24,1,286.29,0,PayPal,286.29
391,250,19,2024-06-20,1,366.15,20,Card,292.92
392,908,299,2023-09-04,3,474.96,0,PayPal,1424.88
393,643,143,2023-08-07,3,363.77,0,PayPal,1091.31
394,740,110,2025-06-19,4,253.67,0,Cash,1014.68
395,829,444,2025-05-18,5,314.13,0,Card,1570.65
396,98,203,2024-05-16,1,249.95,20,Cash,199.96
397,717,58,2023-04-21,4,129.0,0,PayPal,516.0
398,188,37,2023-06-10,3,488.31,20,PayPal,1171.94
399,384,377,2025-05-28,3,444.49,10,PayPal,1200.12
400,677,89,2023-09-07,3,263.68,5,Card,751.49
401,399,380,2023-09-17,1,64.99,0,Cash,64.99
402,781,89,2023-11-27,3,57.99,0,Card,173.97
403,597,229,2023-04-25,4,48.17,20,PayPal,154.14
404,484,307,2024-01-24,3,193.75,15,PayPal,494.06
405,386,50,2023-03-12,3,393.12,0,Cash,1179.36
406,940,419,2023-03-29,4,218.15,0,PayPal,872.6
407,520,352,2024-05-31,5,168.44,0,Card,842.2
408,767,231,2025-01-01,5,91.71,10,PayPal,412.69
409,519,40,2023-11-22,5,456.14,15,PayPal,1938.59
410,440,398,2024-08-06,4,334.41,0,Card,1337.64
411,785,88,2023-09-18,4,275.16,5,Cash,1045.61
412,761,254,2024-10-15,2,175.05,20,Card,280.08
413,611,81,2023-02-08,4,14.57,10,Card,52.45
414,505,138,2023-12-27,2,208.46,10,UPI,375.23
415,260,166,2025-05-26,2,264.39,5,Card,502.34
416,161,310,2024-12-02,3,64.93,0,Cash,194.79
417,769,267,2025-01-24,5,454.55,15,Card,1931.84
418,573,277,2024-09-06,2,92.94,15,Cash,158.0
419,337,21,2023-06-01,1,431.11,5,UPI,409.55
420,878,423,2023-02-13,2,428.11,20,PayPal,684.98
421,901,436,2024-10-02,2,166.58,5,Cash,316.5
422,289,247,2024-06-01,3,295.03,20,PayPal,708.07
423,772,115,2023-09-13,2,356.07,20,PayPal,569.71
424,386,72,2025-01-25,2,15.17,0,Card,30.34
425,930,18,2024-05-25,5,413.89,20,PayPal,1655.56
426,25,372,2025-01-18,4,134.89,10,PayPal,485.6
427,122,246,2025-05-23,1,158.79,15,PayPal,134.97
428,202,484,2023-03-12,2,265.95,5,UPI,505.3
429,815,106,2023-05-21,1,178.09,10,Cash,160.28
430,360,184,2023-04-18,2,495.94,0,Cash,991.88
431,242,156,2024-09-08,1,25.41,10,PayPal,22.87
432,374,110,2025-02-13,5,343.92,0,PayPal,1719.6
433,340,240,2023-01-20,3,169.5,20,Card,406.8
434,170,66,2023-09-11,1,463.26,0,Cash,463.26
435,907,385,2023-04-20,4,498.68,5,PayPal,1894.98
436,920,491,2023-07-21,5,264.68,20,Card,1058.72
437,164,112,2025-04-02,3,105.89,10,Cash,285.9
438,356,135,2025-04-27,4,360.23,0,PayPal,1440.92
439,773,103,2024-02-04,1,233.3,5,PayPal,221.63
440,322,107,2024-02-13,3,122.84,15,Card,313.24
441,478,492,2023-12-12,3,323.4,15,Card,824.67
442,402,227,2024-05-14,5,349.9,15,UPI,1487.08
443,515,31,2024-10-25,4,119.79,10,Cash,431.24
444,217,231,2025-01-12,3,85.56,10,PayPal,231.01
445,965,434,2024-05-06,1,98.19,20,Card,78.55
446,651,150,2023-03-20,3,399.57,10,PayPal,1078.84
447,584,24,2023-07-20,5,488.44,0,PayPal,2442.2
448,1000,471,2024-05-13,2,200.37,10,UPI,360.67
449,826,364,2024-02-18,3,303.51,15,PayPal,773.95
450,909,446,2024-09-04,5,116.68,15,PayPal,495.89
451,733,39,2025-05-23,4,32.89,5,UPI,124.98
452,109,101,2023-02-25,1,439.63,5,Cash,417.65
453,44,162,2025-04-02,5,131.52,5,PayPal,624.72
454,987,461,2023-09-19,5,37.13,5,Card,176.37
455,845,488,2024-08-29,2,425.27,0,Cash,850.54
456,180,384,2024-12-05,3,74.34,5,PayPal,211.87
457,594,489,2025-04-14,1,6.38,10,Card,5.74
458,833,111,2024-04-20,1,386.41,15,Card,328.45
459,919,460,2025-04-27,2,138.55,20,Card,221.68
460,424,406,2023-07-25,3,293.64,20,Cash,704.74
461,101,164,2023-07-25,5,149.1,10,Card,670.95
462,288,7,2024-07-09,2,469.97,5,Cash,892.94
463,511,444,2024-05-08,3,202.53,20,Card,486.07
464,77,191,2023-01-21,4,129.86,0,UPI,519.44
465,709,245,2023-02-20,1,127.02,5,PayPal,120.67
466,238,50,2023-04-16,1,153.42,10,Card,138.08
467,288,142,2023-06-09,2,121.51,20,PayPal,194.42
468,422,29,2023-12-06,4,359.09,0,PayPal,1436.36
469,500,153,2024-03-11,1,362.01,10,Card,325.81
470,288,87,2024-09-18,3,124.08,5,UPI,353.63
471,555,203,2025-02-12,5,294.47,10,UPI,1325.12
472,822,188,2024-03-02,4,74.74,5,Cash,284.01
473,771,54,2024-10-12,1,462.67,0,Card,462.67
474,466,43,2023-07-10,5,414.24,0,UPI,2071.2
475,811,270,2023-07-07,5,317.63,5,PayPal,1508.74
