product_id,category,product_name,brand,price
156,Electronics,Product 156,Brand 3,336.98
157,Electronics,Product 157,Brand 22,5.11
158,Electronics,Product 158,Brand 29,42.15
159,Sports,Product 159,Brand 9,431.33
160,Books,Product 160,Brand 11,35.43
161,Home,Product 161,Brand 7,342.56
162,Clothing,Product 162,Brand 14,413.72
163,Electronics,Product 163,Brand 14,44.67
164,Home,Product 164,Brand 17,228.11
165,Electronics,Product 165,Brand 29,461.8
166,Clothing,Product 166,Brand 14,332.24
167,Sports,Product 167,Brand 23,384.54
168,Electronics,Product 168,Brand 28,109.5
169,Clothing,Product 169,Brand 15,336.5
170,Sports,Product 170,Brand 1,490.5
171,Sports,Product 171,Brand 10,166.89
172,Clothing,Product 172,Brand 15,331.03
173,Home,Product 173,Brand 6,30.91
174,Electronics,Product 174,Brand 20,383.4
175,Clothing,Product 175,Brand 9,161.29
176,Home,Product 176,Brand 26,57.8
177,Sports,Product 177,Brand 16,328.83
178,Electronics,Product 178,Brand 5,252.04
179,Electronics,Product 179,Brand 21,146.37
180,Clothing,Product 180,Brand 25,422.57
181,Clothing,Product 181,Brand 19,341.18
182,Electronics,Product 182,Brand 1,310.38
183,Clothing,Product 183,Brand 19,468.91
184,Clothing,Product 184,Brand 9,185.97
185,Electronics,Product 185,Brand 10,408.83
186,Home,Product 186,Brand 18,119.85
187,Home,Product 187,Brand 5,72.18
188,Sports,Product 188,Brand 4,152.37
189,Electronics,Product 189,Brand 25,153.19
190,Books,Product 190,Brand 13,383.2
191,Electronics,Product 191,Brand 1,321.8
192,Books,Product 192,Brand 16,482.22
193,Electronics,Product 193,Brand 29,482.94
194,Books,Product 194,Brand 16,150.47
195,Clothing,Product 195,Brand 16,187.68
196,Sports,Product 196,Brand 28,490.24
197,Sports,Product 197,Brand 24,468.69
198,Clothing,Product 198,Brand 5,394.17
199,Clothing,Product 199,Brand 23,219.17
200,Clothing,Product 200,Brand 2,185.51
201,Electronics,Product 201,Brand 12,126.59
202,Electronics,Product 202,Brand 7,38.03
203,Books,Product 203,Brand 15,218.81
204,Books,Product 204,Brand 29,223.67
205,Sports,Product 205,Brand 21,330.27
206,Home,Product 206,Brand 2,323.77
207,Home,Product 207,Brand 5,105.77
208,Sports,Product 208,Brand 25,414.14
209,Books,Product 209,Brand 27,371.0
210,Electronics,Product 210,Brand 27,103.99
211,Clothing,Product 211,Brand 7,7.59
212,Books,Product 212,Brand 7,470.79
213,Home,Product 213,Brand 22,154.99
214,Clothing,Product 214,Brand 1,390.7
215,Clothing,Product 215,Brand 20,340.88
216,Clothing,Product 216,Brand 26,142.33
217,Electronics,Product 217,Brand 29,334.66
218,Clothing,Product 218,Brand 23,12.32
219,Books,Product 219,Brand 27,285.08
220,Electronics,Product 220,Brand 8,248.11
221,Electronics,Product 221,Brand 3,301.71
222,Clothing,Product 222,Brand 14,124.5
223,Books,Product 223,Brand 13,74.57
224,Electronics,Product 224,Brand 2,295.89
225,Sports,Product 225,Brand 15,478.85
226,Sports,Product 226,Brand 12,401.52
227,Home,Product 227,Brand 24,147.48
228,Home,Product 228,Brand 29,392.33
229,Electronics,Product 229,Brand 13,467.64
230,Home,Product 230,Brand 2,154.33
231,Sports,Product 231,Brand 16,336.33
232,Books,Product 232,Brand 11,141.85
233,Books,Product 233,Brand 24,417.95
234,Sports,Product 234,Brand 27,230.57
235,Clothing,Product 235,Brand 17,258.77
236,Home,Product 236,Brand 7,25.41
237,Electronics,Product 237,Brand 20,160.8
238,Books,Product 238,Brand 19,87.79
239,Clothing,Product 239,Brand 3,130.19
240,Home,Product 240,Brand 19,132.71
241,Books,Product 241,Brand 27,438.0
242,Clothing,Product 242,Brand 10,215.69
243,Clothing,Product 243,Brand 14,257.58
244,Sports,Product 244,Brand 30,23.13
245,Sports,Product 245,Brand 24,376.21
246,Electronics,Product 246,Brand 23,27.13
247,Home,Product 247,Brand 14,406.19
248,Sports,Product 248,Brand 14,234.36
249,Books,Product 249,Brand 1,407.16
250,Sports,Product 250,Brand 2,430.87
251,Home,Product 251,Brand 17,149.23
252,Sports,Product 252,Brand 2,19.21
253,Electronics,Product 253,Brand 6,113.06
254,Books,Product 254,Brand 17,154.42
255,Clothing,Product 255,Brand 3,391.49
256,Books,Product 256,Brand 30,487.85
257,Electronics,Product 257,Brand 14,486.63
258,Clothing,Product 258,Brand 26,185.94
259,Sports,Product 259,Brand 11,232.96
260,Books,Product 260,Brand 18,341.95
261,Clothing,Product 261,Brand 1,43.44
262,Clothing,Product 262,Brand 20,318.09
263,Home,Product 263,Brand 16,299.52
264,Clothing,Product 264,Brand 30,260.12
265,Books,Product 265,Brand 25,352.65
266,Home,Product 266,Brand 21,27.51
267,Home,Product 267,Brand 22,371.76
268,Home,Product 268,Brand 12,129.33
269,Books,Product 269,Brand 13,466.44
270,Home,Product 270,Brand 11,240.57
271,Sports,Product 271,Brand 23,490.08
272,Clothing,Product 272,Brand 23,209.28
273,Home,Product 273,Brand 14,241.5
274,Books,Product 274,Brand 20,480.61
275,Sports,Product 275,Brand 26,29.03
276,Books,Product 276,Brand 5,249.19
277,Books,Product 277,Brand 28,226.2
278,Clothing,Product 278,Brand 11,79.84
279,Sports,Product 279,Brand 19,391.13
280,Home,Product 280,Brand 6,295.97
281,Books,Product 281,Brand 10,397.47
282,Sports,Product 282,Brand 1,138.54
283,Books,Product 283,Brand 12,428.54
284,Home,Product 284,Brand 16,45.1
285,Books,Product 285,Brand 27,361.13
286,Home,Product 286,Brand 16,27.59
287,Home,Product 287,Brand 5,267.46
288,Books,Product 288,Brand 4,106.96
289,Home,Product 289,Brand 5,59.88
290,Sports,Product 290,Brand 26,237.16
291,Sports,Product 291,Brand 5,227.31
292,Clothing,Product 292,Brand 28,470.55
293,Books,Product 293,Brand 11,35.11
294,Home,Product 294,Brand 16,323.66
295,Books,Product 295,Brand 3,148.22
296,Sports,Product 296,Brand 11,111.22
297,Home,Product 297,Brand 8,205.35
298,Books,Product 298,Brand 12,153.62
299,Home,Product 299,Brand 27,433.16
300,Home,Product 300,Brand 4,342.21
301,Electronics,Product 301,Brand 27,339.04
302,Sports,Product 302,Brand 4,147.93
303,Home,Product 303,Brand 1,303.32
304,Home,Product 304,Brand 4,132.71
305,Books,Product 305,Brand 10,202.29
306,Home,Product 306,Brand 5,275.35
307,Electronics,Product 307,Brand 13,248.63
308,Home,Product 308,Brand 29,444.57
309,Books,Product 309,Brand 21,8.43
310,Home,Product 310,Brand 5,121.42
311,Clothing,Product 311,Brand 29,105.92
312,Clothing,Product 312,Brand 21,144.33
313,Clothing,Product 313,Brand 20,385.89
314,Sports,Product 314,Brand 15,474.29
315,Books,Product 315,Brand 15,397.62
316,Books,Product 316,Brand 14,237.51
317,Clothing,Product 317,Brand 12,38.79
318,Home,Product 318,Brand 4,470.66
319,Sports,Product 319,Brand 23,335.96
320,Home,Product 320,Brand 5,348.34
321,Electronics,Product 321,Brand 26,453.5
322,Books,Product 322,Brand 15,137.81
323,Sports,Product 323,Brand 3,162.71
324,Home,Product 324,Brand 24,248.76
325,Electronics,Product 325,Brand 23,275.29
326,Clothing,Product 326,Brand 29,287.82
327,Clothing,Product 327,Brand 30,211.18
328,Books,Product 328,Brand 4,453.41
329,Sports,Product 329,Brand 7,214.74
330,Electronics,Product 330,Brand 18,473.81
331,Electronics,Product 331,Brand 30,341.04
332,Electronics,Product 332,Brand 21,415.41
333,Sports,Product 333,Brand 18,168.52
334,Books,Product 334,Brand 22,323.52
335,Books,Product 335,Brand 28,200.29
336,Books,Product 336,Brand 10,412.18
337,Books,Product 337,Brand 30,373.35
338,Sports,Product 338,Brand 18,223.11
339,Books,Product 339,Brand 20,306.08
340,Electronics,Product 340,Brand 11,241.66
341,Clothing,Product 341,Brand 9,142.35
342,Electronics,Product 342,Brand 4,488.96
343,Clothing,Product 343,Brand 24,391.31
344,Electronics,Product 344,Brand 29,331.19
345,Electronics,Product 345,Brand 6,166.82
346,Sports,Product 346,Brand 1,213.83
347,Sports,Product 347,Brand 13,218.51
348,Books,Product 348,Brand 2,65.46
349,Clothing,Product 349,Brand 28,18.61
350,Books,Product 350,Brand 11,254.96
351,Sports,Product 351,Brand 5,68.51
352,Clothing,Product 352,Brand 18,286.41
353,Clothing,Product 353,Brand 19,74.95
354,Clothing,Product 354,Brand 30,122.29
355,Clothing,Product 355,Brand 16,20.18
356,Books,Product 356,Brand 26,281.84
357,Books,Product 357,Brand 17,185.1
358,Books,Product 358,Brand 29,5.24
359,Books,Product 359,Brand 27,123.09
360,Sports,Product 360,Brand 30,429.83
361,Sports,Product 361,Brand 28,471.45
362,Sports,Product 362,Brand 28,165.36
363,Clothing,Product 363,Brand 14,412.15
364,Sports,Product 364,Brand 15,132.19
365,Sports,Product 365,Brand 12,286.01
366,Electronics,Product 366,Brand 29,129.7
367,Electronics,Product 367,Brand 23,369.87
368,Books,Product 368,Brand 12,178.18
369,Sports,Product 369,Brand 15,213.83
370,Sports,Product 370,Brand 1,252.35
371,Books,Product 371,Brand 28,422.14
372,Clothing,Product 372,Brand 4,164.7
373,Electronics,Product 373,Brand 23,14.68
374,Books,Product 374,Brand 4,93.89
375,Books,Product 375,Brand 29,119.4
376,Electronics,Product 376,Brand 6,371.88
377,Books,Product 377,Brand 29,316.03
378,Home,Product 378,Brand 6,348.38
379,Home,Product 379,Brand 21,120.36
380,Sports,Product 380,Brand 29,224.55
381,Home,Product 381,Brand 27,229.33
382,Home,Product 382,Brand 16,126.63
383,Clothing,Product 383,Brand 6,78.65
384,Home,Product 384,Brand 6,156.6
385,Sports,Product 385,Brand 26,198.85
386,Clothing,Product 386,Brand 15,410.46
387,Books,Product 387,Brand 22,445.76
388,Home,Product 388,Brand 20,51.29
389,Electronics,Product 389,Brand 26,181.61
390,Sports,Product 390,Brand 6,417.18
391,Clothing,Product 391,Brand 10,230.03
392,Clothing,Product 392,Brand 11,463.2
393,Electronics,Product 393,Brand 29,174.76
394,Home,Product 394,Brand 7,75.99
395,Electronics,Product 395,Brand 2,315.28
396,Electronics,Product 396,Brand 28,464.99
397,Clothing,Product 397,Brand 17,232.35
398,Electronics,Product 398,Brand 24,377.86
399,Clothing,Product 399,Brand 28,43.6
400,Clothing,Product 400,Brand 29,105.48
401,Clothing,Product 401,Brand 6,20.46
402,Home,Product 402,Brand 2,222.79
403,Sports,Product 403,Brand 12,226.1
404,Sports,Product 404,Brand 5,355.13
405,Sports,Product 405,Brand 17,485.57
406,Electronics,Product 406,Brand 15,31.1
407,Clothing,Product 407,Brand 17,466.77
408,Electronics,Product 408,Brand 22,161.71
409,Clothing,Product 409,Brand 9,156.44
410,Home,Product 410,Brand 4,321.77
411,Electronics,Product 411,Brand 30,14.03
412,Clothing,Product 412,Brand 2,188.52
413,Electronics,Product 413,Brand 2,166.99
414,Clothing,Product 414,Brand 1,19.58
415,Books,Product 415,Brand 24,363.96
416,Books,Product 416,Brand 11,362.38
417,Clothing,Product 417,Brand 6,295.67
418,Electronics,Product 418,Brand 26,178.9
419,Home,Product 419,Brand 7,188.2
420,Books,Product 420,Brand 15,457.77
421,Sports,Product 421,Brand 28,176.63
422,Clothing,Product 422,Brand 4,43.71
423,Home,Product 423,Brand 17,121.8
424,Electronics,Product 424,Brand 19,188.04
425,Home,Product 425,Brand 30,416.72
426,Home,Product 426,Brand 25,128.43
427,Home,Product 427,Brand 26,442.37
428,Clothing,Product 428,Brand 23,455.5
429,Books,Product 429,Brand 5,206.25
430,Electronics,Product 430,Brand 14,388.79
431,Clothing,Product 431,Brand 19,40.99
432,Home,Product 432,Brand 9,125.73
433,Sports,Product 433,Brand 29,302.88
434,Books,Product 434,Brand 4,242.09
435,Home,Product 435,Brand 15,58.77
436,Books,Product 436,Brand 29,243.6
437,Home,Product 437,Brand 5,110.1
438,Home,Product 438,Brand 21,315.5
439,Sports,Product 439,Brand 2,101.96
440,Books,Product 440,Brand 9,463.29
441,Electronics,Product 441,Brand 21,164.36
442,Home,Product 442,Brand 16,70.63
443,Sports,Product 443,Brand 2,317.57
444,Books,Product 444,Brand 5,32.23
445,Sports,Product 445,Brand 25,229.85
446,Home,Product 446,Brand 9,110.6
447,Home,Product 447,Brand 4,309.58
448,Clothing,Product 448,Brand 11,486.4
449,Electronics,Product 449,Brand 28,159.78
450,Books,Product 450,Brand 25,210.72
451,Sports,Product 451,Brand 3,70.85
452,Electronics,Product 452,Brand 13,441.52
453,Home,Product 453,Brand 20,73.92
454,Books,Product 454,Brand 20,381.66
455,Electronics,Product 455,Brand 25,77.42
456,Sports,Product 456,Brand 8,482.9
457,Clothing,Product 457,Brand 16,378.4
458,Home,Product 458,Brand 9,239.12
459,Electronics,Product 459,Brand 17,280.91
460,Home,Product 460,Brand 1,378.19
461,Sports,Product 461,Brand 13,487.31
462,Sports,Product 462,Brand 9,76.61
463,Electronics,Product 463,Brand 23,54.17
464,Electronics,Product 464,Brand 16,241.39
465,Sports,Product 465,Brand 3,45.4
466,Home,Product 466,Brand 30,115.13
467,Home,Product 467,Brand 27,196.0
468,Home,Product 468,Brand 8,181.06
469,Clothing,Product 469,Brand 25,496.37
470,Books,Product 470,Brand 20,114.58
471,Electronics,Product 471,Brand 8,498.66
472,Clothing,Product 472,Brand 19,98.04
473,Electronics,Product 473,Brand 29,172.81
474,Books,Product 474,Brand 2,386.62
475,Home,Product 475,Brand 28,465.0
476,Home,Product 476,Brand 12,270.84
477,Books,Product 477,Brand 30,331.7
478,Books,Product 478,Brand 3,117.8
479,Books,Product 479,Brand 5,116.4
480,Home,Product 480,Brand 3,181.65
481,Books,Product 481,Brand 13,234.21
482,Electronics,Product 482,Brand 15,389.98
483,Clothing,Product 483,Brand 9,236.11
484,Electronics,Product 484,Brand 26,353.3
485,Home,Product 485,Brand 14,470.69
486,Home,Product 486,Brand 23,463.2
487,Home,Product 487,Brand 15,235.54
488,Electronics,Product 488,Brand 5,262.19
489,Clothing,Product 489,Brand 26,404.21
490,Clothing,Product 490,Brand 9,347.36
491,Sports,Product 491,Brand 6,185.78
492,Home,Product 492,Brand 12,481.5
493,Electronics,Product 493,Brand 23,418.2
494,Books,Product 494,Brand 18,337.1
495,Sports,Product 495,Brand 30,179.9
496,Home,Product 496,Brand 17,287.73
497,Electronics,Product 497,Brand 2,133.83
498,Home,Product 498,Brand 24,56.26
499,Clothing,Product 499,Brand 14,158.27
500,Clothing,Product 500,Brand 8,280.82
